year,count
-7000,9
-6900,32
-5000,7
-4500,101
-4400,27
-4000,5
-3900,56
-3850,532
-3800,2
-3750,1
-3700,26
-3650,85
-3550,1
-3500,57
-3450,6
-3300,55
-3200,13
-3100,248
-3050,1
-3013,2
-3000,4
-2960,75
-2949,1
-2900,3
-2880,15
-2750,27
-2686,1
-2650,22
-2649,151
-2630,1
-2575,12
-2551,10
-2550,2
-2528,1
-2520,4
-2500,2
-2490,2
-2475,3
-2465,19
-2458,3
-2450,1
-2446,9
-2420,6
-2400,6
-2381,157
-2375,1
-2353,10
-2345,10
-2325,1
-2323,38
-2320,1
-2300,1
-2289,17
-2255,1
-2246,6
-2200,8
-2150,69
-2140,1
-2130,1
-2124,182
-2120,9
-2110,14
-2108,1
-2107,1
-2103,3
-2100,157
-2080,3
-2060,16
-2059,1
-2051,272
-2050,13
-2040,11
-2030,686
-2020,11
-2010,10
-2000,10
-1991,30
-1990,3
-1988,1
-1981,3172
-1971,3
-1970,1
-1962,7
-1961,276
-1950,67
-1944,2
-1937,1
-1936,1
-1930,1
-1925,2
-1920,3
-1919,17
-1900,81
-1897,8
-1887,98
-1880,1
-1878,32
-1859,51
-1850,346
-1840,1
-1825,1
-1820,1
-1814,9
-1813,1
-1810,4
-1802,431
-1800,11
-1799,1
-1787,1
-1786,14
-1783,2
-1782,1
-1768,1
-1765,3
-1763,1
-1750,33
-1748,7
-1741,1
-1731,11
-1720,1
-1719,1
-1711,1
-1700,61
-1650,2
-1648,27
-1640,491
-1635,121
-1620,2
-1600,8
-1581,2
-1580,73
-1579,2
-1570,23
-1567,3
-1564,2
-1560,4
-1557,5
-1550,2041
-1525,51
-1504,161
-1500,15
-1492,166
-1479,1621
-1478,1
-1460,1
-1458,2
-1450,5
-1429,1
-1427,138
-1425,8
-1420,1
-1417,1
-1400,124
-1391,5
-1390,2465
-1367,1
-1353,1043
-1352,38
-1350,2
-1349,3
-1345,1
-1336,73
-1327,6
-1323,21
-1320,4
-1311,1
-1304,2
-1301,1
-1300,2
-1295,2329
-1294,37
-1279,496
-1275,2
-1258,1
-1250,1
-1237,1
-1213,5
-1203,1
-1200,32
-1198,1
-1194,400
-1188,23
-1186,97
-1184,51
-1183,1
-1153,244
-1150,1
-1143,1
-1136,1
-1129,1
-1126,4
-1100,2
-1090,11
-1086,1
-1085,1
-1070,822
-1051,6
-1050,305
-1045,4
-1040,9
-1000,71
-990,430
-975,4
-969,2
-945,56
-924,10
-874,1
-825,11
-818,4
-800,7
-793,1
-760,3
-757,1
-750,6
-747,3
-743,1
-740,2
-724,1
-722,1
-717,1
-715,6
-713,24
-712,172
-707,4
-700,5
-690,4
-688,1
-680,9
-664,9
-600,18
-595,5
-590,1
-525,2
-400,13
-380,2
-332,3
-304,1
-210,1
-180,1
-150,2
-50,1
1,169
2,134
3,566
4,519
5,534
6,368
7,102
8,75
9,199
10,153
11,167
12,103
13,224
14,489
15,107
16,146
17,40
18,212
19,1973
20,484
27,3
30,423
35,2
37,1
41,3
50,5
54,2
60,1
70,1
80,2
90,23
98,2
100,123
107,1
117,3
120,4
125,3
127,1
130,1
140,2
150,4
160,1
161,1
170,1
174,1
180,2
190,1
200,70
210,1
222,4
225,2
246,7
250,6
270,23
275,1
278,1
280,1
285,8
289,1
300,51
304,131
305,13
306,64
332,298
334,3
343,4
350,3
355,1
360,5
364,1
380,65
390,1
393,1
400,97
486,1
500,11
521,3
522,111
525,199
550,3
570,26
580,1
589,40
594,1
595,20
600,32
610,3
611,1
618,3
650,1
653,1
656,7
660,2
664,1952
665,1
672,3
688,12
690,8
700,4
712,1
720,1
743,1
750,2
751,1
778,1
800,4
801,1
808,1
810,2
818,8
847,1
868,4
892,1
900,10
908,6
909,2
918,1
934,4
945,2
946,5
950,16
960,7
975,2
991,2
1000,23
1001,2
1020,5
1021,1
1035,4
1036,2
1050,2
1070,7
1086,1
1094,3
1100,3
1101,1
1150,1
1163,1
1200,14
1212,1
1220,1
1224,1
1245,1
1250,10
1275,9
1279,9
1294,1
1295,4
1296,16
1300,19
1320,1
1325,1
1327,1
1329,1
1333,1
1350,2
1353,1
1354,3
1368,11
1375,6
1380,1
1400,19
1439,1
1444,1
1450,5
1455,1
1468,1
1475,1
1477,1
1480,1
1500,12
1501,3
1515,1
1525,2
1546,1
1550,15
1580,1
1600,10
1601,3
1614,1
1645,1
1650,1
1667,1
1682,1
1683,1
1700,52
1701,8
1725,2
1726,1
1740,1
1744,1
1750,14
1753,1
1755,1
1760,3
1765,2
1770,1
1775,2
1780,1
1783,1
1795,7
1797,1
1800,396
1801,17
1802,1
1805,1
1806,1
1813,5
1815,4
1817,1
1819,1
1820,2
1822,1
1823,155
1825,7
1826,1
1828,41
1830,5
1834,1
1839,1
1840,4
1842,9
1845,8
1846,1
1850,117
1855,1
1856,2
1857,2
1858,1
1860,3
1861,1
1862,1
1863,60
1864,7
1865,24
1866,1
1867,6
1870,24
1871,1
1872,1
1874,1
1875,201
1876,3
1877,1
1880,105
1881,1
1885,4
1886,1
1887,52
1888,2
1889,118
1890,16
1895,5
1897,4
1899,1
1900,488
1901,134
1902,1
1903,4
1904,1
1905,6
1909,2
1910,13
1911,1
1912,1
1915,8
1916,1
1917,1
1918,1
1919,1
1920,81
1921,2
1922,3
1923,2
1924,1
1925,85
1926,1
1927,2
1928,5
1929,2
1930,53
1931,19
1933,2
1934,7
1935,2
1936,7
1937,4
1938,24
1939,2
1940,55
1941,2
1942,1
1943,2
1944,5
1946,4
1947,20
1948,1
1949,2
1950,65
1951,42
1952,7
1953,2
1955,9
1956,16
1957,10
1958,5
1959,5
1960,32
1961,1
1962,4
1963,2
1964,6
1965,5
1966,13
1967,10
1968,3
1969,5
1970,21
1971,7
1972,23
1973,11
1974,10
1975,59
1976,9
1977,12
1979,10
1980,23
1981,2
1982,7
1983,11
1984,16
1985,10
1986,5
1987,1
1988,2
1989,3
1990,12
1991,4
1992,4
1993,10
1994,6
1995,3
1996,13
1997,7
1998,4
1999,2
2000,103
2001,8
2002,1
2003,8
2005,2
2006,5
2007,5
2008,3
2009,14
2010,7
2011,2
2012,2
2013,1
2014,1
2030,1
2100,1
2150,3
2676,1
3400,1
4500,1
8000,1
